Proposition	Speaker	Responds To	Relation Type	Distance	Dotted Line	Text	Gender	Role
1	Cory 	0	B	0	0	what's up man?	Male	Initiator
2	Sutter 	1	T	0	0	nada	Male	Responder
3	Cory 	1	P	1	0	how'd that media player work out for ya?	Male	Initiator
4	Cory 	3	T	0	0	get organized?	Male	Initiator
5a	Sutter 	3	T	0	0	I haven't messed with it much this week....I like it though....	Male	Responder
5b	Sutter 	5a	E	1	0	been too busy to screw with it	Male	Responder
6	Cory 	5b	T	0	0	"yeah I had a busy week too...just gotta make it through my check monday, then smooth sailing"	Male	Initiator
7	Cory 	5b	P	1	0	how much longer for this semester	Male	Initiator
8	Cory 	7	T	0	0	?	Male	Initiator
9	Sutter 	7	T	0	0	semester has two weeks left	Male	Responder
10	Cory 	9	T	0	0	"nice, crunch time"	Male	Initiator
11	Cory 	1	B	4	0	"Gotta go, ttyl"	Male	Initiator
12	Sutter 	11	T	0	0	see ya	Male	Responder
